datetime,open,high,low,close,asset,SMA_5
2025-03-22,0.57349998,0.57359999,0.57309997,0.57340002,NZD/USD,0.577119994
2024-07-25,0.83995003,0.84404999,0.83917499,0.84390002,EUR/GBP,0.841901014
2024-07-26,0.84385002,0.84504998,0.84280002,0.84359002,EUR/GBP,0.8420790180000001
2024-07-29,0.84359998,0.84605002,0.84119999,0.84139001,EUR/GBP,0.8419370159999999
2024-07-30,0.84136498,0.84297502,0.84105003,0.84254998,EUR/GBP,0.84226601
2024-07-31,0.84254998,0.84487998,0.84169,0.84210002,EUR/GBP,0.84270601
2024-08-01,0.84210497,0.84740001,0.84162498,0.84715003,EUR/GBP,0.8433560120000001
2024-08-02,0.84625,0.85364997,0.84625,0.852,EUR/GBP,0.8450380080000001
2024-08-05,0.85259998,0.86189997,0.852395,0.85699999,EUR/GBP,0.848160004
2024-08-06,0.85688001,0.8617,0.85619998,0.86119998,EUR/GBP,0.851890004
2024-08-07,0.86110002,0.86164999,0.857575,0.86059999,EUR/GBP,0.8555899979999999
2024-08-08,0.86050999,0.86255002,0.85597003,0.85640001,EUR/GBP,0.8574399940000001
2024-08-09,0.8563,0.85790002,0.8549,0.85549998,EUR/GBP,0.85813999
2024-08-12,0.85580498,0.85689998,0.85434997,0.85589999,EUR/GBP,0.8579199900000001
2024-08-13,0.85734999,0.85734999,0.8531,0.85460001,EUR/GBP,0.8565999959999999
2024-08-14,0.85504502,0.85925001,0.85404998,0.85829997,EUR/GBP,0.8561399919999999
2024-08-15,0.85855001,0.85925001,0.85344499,0.8538,EUR/GBP,0.8556199900000001
2024-08-16,0.85355502,0.85404998,0.85100001,0.85205001,EUR/GBP,0.8549299959999999
2024-08-19,0.85189003,0.85364997,0.85079998,0.85271502,EUR/GBP,0.854293002
2024-08-20,0.85306501,0.85404998,0.851565,0.85390002,EUR/GBP,0.8541530040000002
2024-08-21,0.85390002,0.85455,0.85089999,0.85180002,EUR/GBP,0.8528530140000001
2024-08-22,0.85196,0.85292,0.84780002,0.84890002,EUR/GBP,0.851873018
2024-08-23,0.84886998,0.84944999,0.84539998,0.84689999,EUR/GBP,0.850843014
2024-08-26,0.847,0.84759998,0.84500003,0.84630001,EUR/GBP,0.8495600120000001
2024-08-27,0.84635001,0.84694999,0.84310001,0.84350002,EUR/GBP,0.8474800119999999
2024-08-28,0.84350002,0.84429002,0.84100002,0.84305,EUR/GBP,0.845730008
2024-08-29,0.84302002,0.84350002,0.84020001,0.84130001,EUR/GBP,0.844210006
2024-08-30,0.84170502,0.84285003,0.83999997,0.84149998,EUR/GBP,0.843130004
2024-09-02,0.84119999,0.84329998,0.84109998,0.84210002,EUR/GBP,0.842290006
2024-09-03,0.84193498,0.84350002,0.84069997,0.84210002,EUR/GBP,0.842010006
2024-09-04,0.84153497,0.84359998,0.84153497,0.84289497,EUR/GBP,0.8419789999999999
2024-09-05,0.84334499,0.84380001,0.84179997,0.84299999,EUR/GBP,0.842318996
2024-09-06,0.84305501,0.84469998,0.84109998,0.84424502,EUR/GBP,0.842868004
2024-09-09,0.84408498,0.8448,0.84332001,0.84411502,EUR/GBP,0.843271004
2024-09-10,0.84397501,0.8448,0.84240001,0.84245002,EUR/GBP,0.843341004
2024-09-11,0.84232002,0.84640002,0.84224999,0.844235,EUR/GBP,0.84360901
2024-09-12,0.84420002,0.84560001,0.84334999,0.84380001,EUR/GBP,0.843769014
2024-09-13,0.84381002,0.84530002,0.8427,0.843885,EUR/GBP,0.84369701
2024-09-16,0.84420002,0.84439999,0.84200001,0.84240001,EUR/GBP,0.843354008
2024-09-17,0.84236002,0.84549999,0.84179997,0.84450001,EUR/GBP,0.843764006
2024-09-18,0.84439498,0.84544998,0.84036499,0.84144002,EUR/GBP,0.8432050099999999
2024-09-19,0.84156501,0.84235001,0.83920002,0.84030002,EUR/GBP,0.8425050119999999
2024-09-20,0.84029502,0.84069997,0.83780003,0.83780003,EUR/GBP,0.841288018
2024-09-23,0.83810002,0.8387,0.83230001,0.83240002,EUR/GBP,0.83928802
2024-09-24,0.83301002,0.83415002,0.83170003,0.83348,EUR/GBP,0.837084018
2024-09-25,0.83363497,0.83724999,0.83315003,0.8355,EUR/GBP,0.835896014
2024-09-26,0.83538997,0.83614999,0.83269,0.83319998,EUR/GBP,0.834476006
2024-09-27,0.83363003,0.83515,0.83219999,0.83484,EUR/GBP,0.833884
2024-09-30,0.8348,0.83600003,0.83130997,0.8326,EUR/GBP,0.833923996
2024-10-01,0.83265001,0.83459997,0.83104998,0.83304501,EUR/GBP,0.833836998
2024-10-02,0.83324999,0.83405,0.83209997,0.83254999,EUR/GBP,0.8332469960000001
2024-10-03,0.83241999,0.84355003,0.83219999,0.8405,EUR/GBP,0.8347070000000001
2024-10-04,0.84029001,0.84085,0.83533502,0.83649498,EUR/GBP,0.835037996
2024-10-07,0.83609998,0.83995497,0.83555001,0.83885002,EUR/GBP,0.836288
2024-10-08,0.8387,0.8405,0.83740002,0.83815002,EUR/GBP,0.8373090019999999
2024-10-09,0.838,0.83894998,0.83670002,0.8373,EUR/GBP,0.838259004
2024-10-10,0.8373,0.83859998,0.83544999,0.83759999,EUR/GBP,0.837679002
2024-10-11,0.83753002,0.83845001,0.83649999,0.8369,EUR/GBP,0.8377600059999999
2024-10-12,0.83679998,0.83724999,0.83653003,0.8369,EUR/GBP,0.8373700019999999
2024-10-14,0.83670002,0.83745003,0.8348,0.83530003,EUR/GBP,0.836800004
2024-10-15,0.83530003,0.83693498,0.8326,0.83310002,EUR/GBP,0.835960008
2024-10-16,0.83310002,0.83802998,0.83270001,0.83634502,EUR/GBP,0.8357090140000001
2024-10-17,0.83634001,0.83705002,0.83174998,0.832075,EUR/GBP,0.834744014
2024-10-18,0.83200002,0.8337,0.82950002,0.83295,EUR/GBP,0.833954014
2024-10-19,0.83289999,0.83315003,0.832605,0.83270001,EUR/GBP,0.8334340100000001
2024-10-21,0.83270001,0.83394998,0.83244997,0.83289999,EUR/GBP,0.833394004
2024-10-22,0.833,0.83469999,0.83143502,0.83148003,EUR/GBP,0.832421006
2024-10-23,0.83149999,0.83455002,0.83034497,0.83399999,EUR/GBP,0.832806004
2024-10-24,0.83399999,0.83534998,0.83149999,0.83455497,EUR/GBP,0.833126998
2024-10-25,0.83459997,0.83555001,0.83265001,0.83289999,EUR/GBP,0.8331669940000002
2024-10-26,0.83301997,0.83324999,0.83279997,0.83305001,EUR/GBP,0.833196998
2024-10-28,0.83240002,0.8344,0.83209997,0.8337,EUR/GBP,0.833640992
2024-10-29,0.83359998,0.83424997,0.82990003,0.83147502,EUR/GBP,0.833135998
2024-10-30,0.83144999,0.83765,0.83064002,0.83735001,EUR/GBP,0.8336950059999999
2024-10-31,0.83740002,0.8448,0.83539999,0.84380001,EUR/GBP,0.83587501
2024-11-01,0.84369999,0.84445,0.83684999,0.8387,EUR/GBP,0.837005008
2024-11-02,0.83867502,0.83894998,0.83840001,0.83859497,EUR/GBP,0.837984002
2024-11-04,0.83880001,0.84187001,0.83850002,0.8398,EUR/GBP,0.839648998
